DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,ST_VOTO_EM_TRANSITO,QT_VOTOS_NOMINAIS
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,35,13,Vereador,120000007366,19073,ADELSON VIEIRA LIMA,TETÉ,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,19,PTN,Partido Trabalhista Nacional,120000000487,PARTIDO ISOLADO,PTN,5,SUPLENTE,N,12
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,54,13,Vereador,120000007366,19073,ADELSON VIEIRA LIMA,TETÉ,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,19,PTN,Partido Trabalhista Nacional,120000000487,PARTIDO ISOLADO,PTN,5,SUPLENTE,N,76
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,53,13,Vereador,120000006390,55111,ADEMAR VIEIRA JUNIOR,CORINGA,#NULO#,12,APTO,2,DEFERIDO,Coligação,55,PSD,Partido Social Democrático,120000000432,SEMPRE COM A GENTE II,PSD / PPL,5,SUPLENTE,N,695
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,44,13,Vereador,120000006390,55111,ADEMAR VIEIRA JUNIOR,CORINGA,#NULO#,12,APTO,2,DEFERIDO,Coligação,55,PSD,Partido Social Democrático,120000000432,SEMPRE COM A GENTE II,PSD / PPL,5,SUPLENTE,N,314
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,54,13,Vereador,120000006390,55111,ADEMAR VIEIRA JUNIOR,CORINGA,#NULO#,12,APTO,2,DEFERIDO,Coligação,55,PSD,Partido Social Democrático,120000000432,SEMPRE COM A GENTE II,PSD / PPL,5,SUPLENTE,N,205
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,8,13,Vereador,120000006390,55111,ADEMAR VIEIRA JUNIOR,CORINGA,#NULO#,12,APTO,2,DEFERIDO,Coligação,55,PSD,Partido Social Democrático,120000000432,SEMPRE COM A GENTE II,PSD / PPL,5,SUPLENTE,N,795
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,35,13,Vereador,120000006390,55111,ADEMAR VIEIRA JUNIOR,CORINGA,#NULO#,12,APTO,2,DEFERIDO,Coligação,55,PSD,Partido Social Democrático,120000000432,SEMPRE COM A GENTE II,PSD / PPL,5,SUPLENTE,N,259
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,36,13,Vereador,120000006390,55111,ADEMAR VIEIRA JUNIOR,CORINGA,#NULO#,12,APTO,2,DEFERIDO,Coligação,55,PSD,Partido Social Democrático,120000000432,SEMPRE COM A GENTE II,PSD / PPL,5,SUPLENTE,N,253
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,36,13,Vereador,120000006632,90456,ADEMIR MOREIRA PRIMO,ADEMIR MOREIRA PRIMO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,90,PROS,Partido Republicano da Ordem Social,120000000449,PARTIDO ISOLADO,PROS,4,NÃO ELEITO,N,275
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,53,13,Vereador,120000006632,90456,ADEMIR MOREIRA PRIMO,ADEMIR MOREIRA PRIMO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,90,PROS,Partido Republicano da Ordem Social,120000000449,PARTIDO ISOLADO,PROS,4,NÃO ELEITO,N,47
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,8,13,Vereador,120000006632,90456,ADEMIR MOREIRA PRIMO,ADEMIR MOREIRA PRIMO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,90,PROS,Partido Republicano da Ordem Social,120000000449,PARTIDO ISOLADO,PROS,4,NÃO ELEITO,N,53
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,44,13,Vereador,120000006632,90456,ADEMIR MOREIRA PRIMO,ADEMIR MOREIRA PRIMO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,90,PROS,Partido Republicano da Ordem Social,120000000449,PARTIDO ISOLADO,PROS,4,NÃO ELEITO,N,41
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,54,13,Vereador,120000006632,90456,ADEMIR MOREIRA PRIMO,ADEMIR MOREIRA PRIMO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,90,PROS,Partido Republicano da Ordem Social,120000000449,PARTIDO ISOLADO,PROS,4,NÃO ELEITO,N,41
